13:49:13.013 INFO  c.p.anime.aop.aspect.LoggingAspect - Called method findAnimeInNominationWithAverageRatingGreaterThanThreshold() with args: [1, 1]
13:49:13.191 INFO  c.p.anime.aop.aspect.LoggingAspect - Method findAnimeInNominationWithAverageRatingGreaterThanThreshold returned value: [Anime(id=1, title=tokyo ghoul, startDate=1970-01-01, endDate=1970-01-01, totalRating=8, reviewCount=1)] in 178 ms
13:49:20.867 INFO  c.p.anime.aop.aspect.LoggingAspect - Called method findAnimeInNominationWithAverageRatingGreaterThanThreshold() with args: [1, 10]
13:49:20.875 INFO  c.p.anime.aop.aspect.LoggingAspect - Method findAnimeInNominationWithAverageRatingGreaterThanThreshold returned value: [] in 8 ms
13:59:35.496 INFO  c.p.anime.aop.aspect.LoggingAspect - Called method createReview() with args: [CreateReview(title=nice, text=very nice, grade=8, animeId=1)]
13:59:35.735 INFO  c.p.anime.aop.aspect.LoggingAspect - Method createReview() failed in 239 ms with message: null
13:59:43.206 INFO  c.p.anime.aop.aspect.LoggingAspect - Called method getAllReviews() with args: []
13:59:43.242 INFO  c.p.anime.aop.aspect.LoggingAspect - Method getAllReviews returned value: [Review(id=1, title=nice, text=very nice, grade=8, anime=Anime(id=1, title=tokyo ghoul, startDate=1970-01-01, endDate=1970-01-01, totalRating=8, reviewCount=1))] in 36 ms
13:59:53.751 INFO  c.p.anime.aop.aspect.LoggingAspect - Called method getReviewById() with args: [1]
13:59:53.759 INFO  c.p.anime.aop.aspect.LoggingAspect - Method getReviewById returned value: Review(id=1, title=nice, text=very nice, grade=8, anime=Anime(id=1, title=tokyo ghoul, startDate=1970-01-01, endDate=1970-01-01, totalRating=8, reviewCount=1)) in 8 ms
13:59:55.980 INFO  c.p.anime.aop.aspect.LoggingAspect - Called method getReviewById() with args: [1]
13:59:55.988 INFO  c.p.anime.aop.aspect.LoggingAspect - Method getReviewById returned value: Review(id=1, title=nice, text=very nice, grade=8, anime=Anime(id=1, title=tokyo ghoul, startDate=1970-01-01, endDate=1970-01-01, totalRating=8, reviewCount=1)) in 8 ms
14:00:05.715 INFO  c.p.anime.aop.aspect.LoggingAspect - Called method getReviewById() with args: [1]
14:00:05.723 INFO  c.p.anime.aop.aspect.LoggingAspect - Method getReviewById returned value: Review(id=1, title=nice, text=very nice, grade=8, anime=Anime(id=1, title=tokyo ghoul, startDate=1970-01-01, endDate=1970-01-01, totalRating=8, reviewCount=1)) in 8 ms
14:00:07.604 INFO  c.p.anime.aop.aspect.LoggingAspect - Called method getReviewById() with args: [1]
14:00:07.612 INFO  c.p.anime.aop.aspect.LoggingAspect - Method getReviewById returned value: Review(id=1, title=nice, text=very nice, grade=8, anime=Anime(id=1, title=tokyo ghoul, startDate=1970-01-01, endDate=1970-01-01, totalRating=8, reviewCount=1)) in 8 ms
